22;naval_base;2874.00;9.50;1389.00;-0.12;5505
22;naval_base;2861.00;9.50;1386.00;0.79;5505
22;naval_base;2872.00;9.50;1389.00;0.46;5505
23;naval_base;2789.01;9.50;1439.63;-1.19;5108
23;naval_base;2776.00;9.50;1452.00;-0.98;5108
23;naval_base;2794.00;9.50;1428.00;-1.37;5108
37;naval_base;2996.11;9.40;1646.73;-2.64;2431
37;naval_base;2986.07;9.50;1641.76;-2.96;2408
37;naval_base;2991.40;9.50;1640.80;-2.64;2408
44;naval_base;3109.00;9.50;1344.00;-1.57;5838
44;naval_base;3109.00;9.53;1338.00;-1.95;5838
21;naval_base;2893.07;9.50;1384.20;-0.11;5505
21;naval_base;2881.58;9.50;1388.18;0.00;5505
29;naval_base;2833.15;9.50;1536.87;-2.43;11748
29;naval_base;2841.25;9.50;1538.26;-2.84;8621
29;naval_base;2831.00;9.50;1527.00;-1.61;11748
22;naval_base;2853.00;9.82;1381.00;1.57;5505
23;naval_base;2797.00;9.60;1416.00;-2.36;5108
47;naval_base;3169.00;9.50;1283.00;1.57;6801
35;naval_base;2868.00;9.50;1552.00;-3.14;8621
35;naval_base;2865.00;9.50;1542.00;-3.93;8621
21;air_base;2892.00;9.50;1400.00;2.97;0
22;air_base;2862.00;9.50;1400.00;0.91;0
23;air_base;2803.00;9.50;1436.00;1.42;0
24;air_base;2833.00;9.50;1465.00;0.82;0
25;air_base;2811.00;9.50;1431.00;6.14;0
27;air_base;2857.00;9.50;1460.00;4.59;0
28;air_base;2908.00;9.50;1501.00;3.99;0
29;air_base;2839.00;9.50;1532.00;3.04;0
30;air_base;2805.00;9.50;1478.00;0.98;0
31;air_base;2822.00;9.50;1379.00;0.38;0
32;air_base;2892.00;9.50;1425.00;5.71;0
33;air_base;2806.00;9.50;1377.00;3.65;0
34;air_base;2871.00;9.50;1527.00;4.15;0
35;air_base;2891.00;9.50;1553.00;6.22;0
37;air_base;2998.00;9.50;1640.00;4.66;0
38;air_base;3014.00;9.50;1806.00;2.61;0
39;air_base;2995.00;9.50;1451.00;1.65;0
40;air_base;4088.00;9.50;1566.00;2.51;0
41;air_base;2727.00;9.50;1330.00;1.56;0
42;air_base;2941.00;9.50;1536.00;5.78;0
43;air_base;3119.00;9.50;1463.00;0.01;0
44;air_base;3112.00;9.50;1343.00;4.23;0
45;air_base;3117.00;9.50;1427.00;4.73;0
46;air_base;3227.00;9.50;1417.00;2.68;0
47;air_base;3178.00;9.50;1284.00;1.72;0
48;air_base;3182.00;9.50;1375.00;1.12;0
49;air_base;3326.00;9.50;1328.00;0.17;0
50;air_base;2967.00;9.50;1492.00;4.39;0
51;air_base;2908.00;9.50;1552.00;0.07;0
52;air_base;2971.00;9.50;1477.00;4.30;0
53;air_base;3017.00;9.50;1490.00;4.80;0
54;air_base;2986.00;9.50;1519.00;2.74;0
55;air_base;2948.00;9.50;1528.00;0.68;0
56;air_base;2929.00;9.50;1577.00;1.19;0
57;air_base;2937.00;9.50;1556.00;5.41;0
58;air_base;2948.00;9.50;1600.00;2.30;0
60;air_base;2974.00;9.50;1535.00;0.75;0
61;air_base;2989.00;9.50;1598.00;4.97;0
62;air_base;3012.00;9.50;1598.00;4.37;0
63;air_base;3051.00;9.50;1594.00;3.42;0
64;air_base;2993.00;9.50;1566.00;1.36;0
65;air_base;3000.00;9.50;1543.00;1.86;0
66;air_base;3074.00;9.50;1536.00;6.09;0
67;air_base;3088.00;9.50;1523.00;0.31;0
68;air_base;3047.00;9.50;1584.00;5.99;0
69;air_base;3036.00;9.50;1535.00;5.04;0
70;air_base;3112.00;9.50;1490.00;4.44;0
71;air_base;3146.00;9.50;1502.00;3.48;0
72;air_base;3095.00;9.50;1516.00;1.43;0
73;air_base;3175.00;9.50;1483.00;1.93;0
74;air_base;3069.00;9.50;1517.00;6.15;0
75;air_base;3078.00;9.50;1509.00;5.20;0
76;air_base;3153.00;9.50;1459.00;4.60;0
77;air_base;3247.00;9.50;1391.00;2.54;0
78;air_base;3251.00;9.50;1459.00;4.51;0
79;air_base;3230.00;9.50;1450.00;2.44;0
80;air_base;3211.00;9.50;1481.00;1.49;0
81;air_base;3175.00;9.50;1416.00;2.10;0
82;air_base;3155.00;9.50;1422.00;2.60;0
83;air_base;3150.00;9.50;1452.00;2.00;0
84;air_base;3170.00;9.50;1447.00;1.05;0
85;air_base;3091.00;9.50;1615.00;0.45;0
87;air_base;3107.00;9.50;1554.00;5.18;0
88;air_base;3119.00;9.50;1523.00;3.12;0
89;air_base;3189.00;9.50;1495.00;2.17;0
90;air_base;3124.00;9.50;1530.00;1.56;0
91;air_base;3169.00;9.50;1515.00;0.61;0
92;air_base;3163.00;9.50;1548.00;4.84;0
93;air_base;3237.00;9.50;1510.00;5.34;0
94;air_base;3213.00;9.50;1561.00;4.74;0
95;air_base;3213.00;9.50;1597.00;5.25;0
96;air_base;3211.00;9.50;1608.00;5.85;0
97;air_base;3167.00;9.50;1567.00;3.80;0
98;air_base;3110.00;9.50;1572.00;2.84;0
99;air_base;2954.00;9.50;1622.00;3.69;0
100;air_base;2493.00;9.50;1879.00;2.75;0
101;air_base;1998.00;9.50;1960.00;2.14;0
102;air_base;3058.00;9.50;1452.00;1.19;0
103;air_base;3062.00;9.50;1394.00;5.42;0
104;air_base;3103.00;9.50;1410.00;5.92;0
105;air_base;3100.00;9.50;1383.00;3.86;0
106;air_base;3146.00;9.50;1355.00;2.91;0
107;air_base;3111.00;9.50;1405.00;2.31;0
108;air_base;3148.00;9.50;1408.00;0.25;0
109;air_base;3056.00;9.50;1439.00;5.58;0
110;air_base;2994.00;9.50;1749.00;0.15;0
